"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_mm","dimensions_mm","public_price_usd","price_type","availability","local_image_path","image_file","source_item_id","notes"
"Annflora Crystal Weave","bead","Aquamarine","Cream Blue Aquamarine","奶油蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_041.png","prod_041.png","prod_041_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Glacier Blue Aquamarine","冰川蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_039.png","prod_039.png","prod_039_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Glacier Blue Aquamarine","冰川蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_039.png","prod_039.png","prod_039_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Glacier Blue Aquamarine","冰川蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_039.png","prod_039.png","prod_039_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Sapphire Blue Aquamarine","圣蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_040.png","prod_040.png","prod_040_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Sapphire Blue Aquamarine","圣蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_040.png","prod_040.png","prod_040_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Aquamarine","Sapphire Blue Aquamarine","圣蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_040.png","prod_040.png","prod_040_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood (Raw)","原生沉香","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_022.png","prod_022.png","prod_022_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood (Raw)","原生沉香","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_022.png","prod_022.png","prod_022_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood (Raw)","原生沉香","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_022.png","prod_022.png","prod_022_12mm","One local image may serve several size variants."
