"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_price_list","availability","local_image_files","image_count","variant_count","price_type","notes"
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Kitty Cat","白水晶 Kitty 猫","not disclosed","not disclosed","special form (see name)","12 mm = $12","unavailable","prod_055.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Pill Bead","白水晶药片珠","not disclosed","not disclosed","non-round (5 x 9 mm)","9 x 5 mm = $3","not stated","prod_060.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Clear Quartz Rondelle","白水晶跑环","not disclosed","not disclosed","non-round (4 x 15 mm)","15 x 4 mm = $3","not stated","prod_062.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Faceted Clear Quartz Sugar Cube","白水晶刻面方糖","not disclosed","not disclosed","special form (see name)","10 mm = $8","not stated","prod_056.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Clear Quartz","Milky Quartz","奶白晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_053.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Fluorite","Feather Fluorite","羽毛萤石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_079.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Fluorite","Green Fluorite","绿萤石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_078.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Garden Quartz","Red Garden Quartz","红胶花","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_071.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Garden Quartz","Yellow Garden Quartz","黄胶花","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_072.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Jade","Hetian Jade","和田玉","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_043.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Jade","Xiuyan Jade (Green)","青提岫玉","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_044.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Moonstone","Blue Moonstone","蓝月光","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_035.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Moonstone","Grey Moonstone","灰月光","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_034.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Faceted Obsidian Sphere","黑曜石刻面球","not disclosed","not disclosed","special form (see name)","12 mm = $12","not stated","prod_033.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Golden Obsidian","金曜石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_029.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Ice Obsidian","冰曜石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_028.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Obsidian","黑曜石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_032.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Silver Obsidian","银曜石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_030.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Obsidian","Silver Obsidian Barrel Bead","银曜石桶珠","not disclosed","not disclosed","not stated (round-looking image)","10 mm = $8","not stated","prod_031.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Black Tourmaline","黑碧玺","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_012.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Garnet","石榴石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_005.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Kunzite","紫锂辉","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_006.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Kyanite","蓝晶石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_009.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Lapis Lazuli","青金石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_011.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Larimar","海纹石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_004.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Malachite","孔雀石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_003.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Rhodochrosite","红纹石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_007.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Round Freshwater Pearl","超圆淡水珍珠","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_010.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Others","Seraphinite","绿龙晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_008.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Phantom Quartz","Green Phantom Quartz (Starry)","满天星绿幽灵","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_019.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Phantom Quartz","Purple Phantom Quartz","紫幽灵","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_020.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Phantom Quartz","Snowflake Phantom Quartz","雪花幽灵","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_021.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Prehnite","Golden Prehnite","金葡萄石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_081.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Prehnite","Prehnite","绿葡萄石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_080.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rabbit Hair Quartz","Green Rabbit Hair Quartz","绿兔毛","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_002.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rabbit Hair Quartz","Red Rabbit Hair Quartz","红兔毛","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_001.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rhodonite","Rose Pink Rhodonite","玫瑰粉蔷薇石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_083.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rhodonite","Sakura Rain Rhodonite","樱花雨蔷薇石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_082.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rose Quartz","Purple Rose Quartz","紫粉晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_066.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rose Quartz","Rose Quartz Freeform","粉晶随形","not disclosed","not disclosed","non-round (10 x 8 mm)","8 x 10 mm = $8","not stated","prod_065.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rose Quartz","Star Rose Quartz","星光粉晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_064.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rutilated Quartz","Black Gold Super Seven","黑金超","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_015.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rutilated Quartz","Golden Rutilated Quartz","金发晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_014.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Rutilated Quartz","Green Rutilated Quartz","绿发晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_013.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Smoky Quartz","Faceted Smoky Quartz Diamond","茶晶菱形刻面","not disclosed","not disclosed","special form (see name)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_074.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Smoky Quartz","Smoky Quartz (Pure)","净体茶晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_073.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Smoky Quartz","Smoky Quartz Freeform","茶晶随形","not disclosed","not disclosed","non-round (10 x 6 mm)","6 x 10 mm = $8","not stated","prod_075.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Strawberry Quartz","Pigeon Blood Red Strawberry Quartz","鸽血红草莓晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_077.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Strawberry Quartz","Red Strawberry Quartz (Bean Paste)","豆沙红草莓晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_076.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Sunstone","Golden Sunstone","金太阳石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_018.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Sunstone","Sunstone","太阳石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_017.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Tiger's Eye","Blue Tiger's Eye","蓝虎眼","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_084.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Tiger's Eye","Golden Tiger's Eye","金虎眼","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_085.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Tiger's Eye","Golden Tiger's Eye Freeform","金虎眼随形","not disclosed","not disclosed","special form (see name)","10 mm = $8","not stated","prod_086.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Tiger's Eye","Yellow Tiger's Eye","黄虎眼","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_087.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Aquamarine","aquamarine 海蓝宝","Blue","R2","not stated (round-looking image)","7 mm = $3 | 9 mm = $6 | 14 mm = $20","not stated","bd-aq-07-r2.png | bd-aq-09-r2.png | bd-aq-14-r2.png","3","3","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Aquamarine","aquamarine 海蓝宝","Blue","R3","not stated (round-looking image)","6 mm = $1 | 8 mm = $2 | 10 mm = $3 | 12 mm = $6 | 14 mm = $9","not stated","bd-aq-06-r3.png | bd-aq-08-r3.png | bd-aq-10-r3.png | bd-aq-12-r3.png | bd-aq-14-r3.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Beryl","BERYL 绿柱石","Green","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $4 | 10 mm = $6 | 12 mm = $10 | 14 mm = $14","not stated","bd-be-06-r1.png | bd-be-08-r1.png | bd-be-10-r1.png | bd-be-12-r1.png | bd-be-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Brazil Amethyst","brazil amethyst 巴西紫水","Purple","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $4 | 10 mm = $8 | 12 mm = $10 | 14 mm = $12","not stated","bd-ba-06-r1.png | bd-ba-08-r1.png | bd-ba-10-r1.png | bd-ba-12-r1.png | bd-ba-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Citrine Crystal","cytrine crystal 黄塔晶","Gold","R1","not stated (round-looking image)","6 mm = $1 | 8 mm = $2 | 10 mm = $4 | 12 mm = $6 | 14 mm = $8","not stated","bd-cc-06-r1.png | bd-cc-08-r1.png | bd-cc-10-r1.png | bd-cc-12-r1.png | bd-cc-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Clear Quartz","CLEAR QUARTZ 白水晶3A","Clear","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $4 | 10 mm = $6 | 12 mm = $8 | 14 mm = $10","not stated","bd-cq-06-r1.png | bd-cq-08-r1.png | bd-cq-10-r1.png | bd-cq-12-r1.png | bd-cq-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Gray Moonstone","gray moonstone 灰月光","Smoke","R1","not stated (round-looking image)","6 mm = $0 | 8 mm = $0 | 10 mm = $0 | 12 mm = $0 | 14 mm = $20","not stated","bd-gm-06-r1.png | bd-gm-08-r1.png | bd-gm-10-r1.png | bd-gm-12-r1.png | bd-gm-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
"MoonArq Studio","bead","crystal","Kunzite","kunzite 紫锂辉","Blush","R1","not stated (round-looking image)","6 mm = $2 | 8 mm = $3 | 10 mm = $6 | 12 mm = $9 | 14 mm = $12","not stated","bd-kz-06-r1.png | bd-kz-08-r1.png | bd-kz-10-r1.png | bd-kz-12-r1.png | bd-kz-14-r1.png","5","5","incremental price per selected bead; base price separate","Research copy only; not approved for Earthward production."
