material_key,source_product_name_zh,source_image_path,upload_filename,wordpress_attachment_id,wordpress_media_url,upload_status
linganshi-83288d92b0c3,太阳石,C:\Users\Dylan\Desktop\灵感石验室\太阳石.webp,linganshi-83288d92b0c3.webp,56459,https://goearthward.com/wp-content/uploads/2026/07/linganshi-83288d92b0c3.webp,uploaded-t17-catalog-media
linganshi-ae13e4de6b10,月光石,C:\Users\Dylan\Desktop\灵感石验室\月光石.webp,linganshi-ae13e4de6b10.webp,56460,https://goearthward.com/wp-content/uploads/2026/07/linganshi-ae13e4de6b10.webp,uploaded-t17-catalog-media
linganshi-896823121986,金太阳,C:\Users\Dylan\Desktop\灵感石验室\金太阳.webp,linganshi-896823121986.webp,56461,https://goearthward.com/wp-content/uploads/2026/07/linganshi-896823121986.webp,uploaded-t17-catalog-media
linganshi-7a746e73a783,透体灰月光,C:\Users\Dylan\Desktop\灵感石验室\透体灰月光.webp,linganshi-7a746e73a783.webp,56462,https://goearthward.com/wp-content/uploads/2026/07/linganshi-7a746e73a783.webp,uploaded-t17-catalog-media
linganshi-bad5e3f91f82,双眼金曜石,C:\Users\Dylan\Desktop\灵感石验室\双眼金曜石.webp,linganshi-bad5e3f91f82.webp,56463,https://goearthward.com/wp-content/uploads/2026/07/linganshi-bad5e3f91f82.webp,uploaded-t17-catalog-media
linganshi-b0c7e55c0bad,双眼银曜石,C:\Users\Dylan\Desktop\灵感石验室\双眼银曜石.webp,linganshi-b0c7e55c0bad.webp,56464,https://goearthward.com/wp-content/uploads/2026/07/linganshi-b0c7e55c0bad.webp,uploaded-t17-catalog-media
linganshi-1dfab1b15c90,高透冰耀石,C:\Users\Dylan\Desktop\灵感石验室\高透冰曜石.webp,linganshi-1dfab1b15c90.webp,56669,https://goearthward.com/wp-content/uploads/2026/07/linganshi-1dfab1b15c90.webp,uploaded-t17-catalog-media
linganshi-308eb17b6dc4,天河石,C:\Users\Dylan\Desktop\灵感石验室\天河石.webp,linganshi-308eb17b6dc4.webp,56465,https://goearthward.com/wp-content/uploads/2026/07/linganshi-308eb17b6dc4.webp,uploaded-t17-catalog-media
linganshi-2a4f027040ec,南红玛瑙,C:\Users\Dylan\Desktop\灵感石验室\南红玛瑙.webp,linganshi-2a4f027040ec.webp,56466,https://goearthward.com/wp-content/uploads/2026/07/linganshi-2a4f027040ec.webp,uploaded-t17-catalog-media
linganshi-8fff1154d11c,绿龙晶,C:\Users\Dylan\Desktop\灵感石验室\绿龙晶.webp,linganshi-8fff1154d11c.webp,56467,https://goearthward.com/wp-content/uploads/2026/07/linganshi-8fff1154d11c.webp,uploaded-t17-catalog-media
linganshi-f8f86597c85c,紫云母,C:\Users\Dylan\Desktop\灵感石验室\紫云母.webp,linganshi-f8f86597c85c.webp,56468,https://goearthward.com/wp-content/uploads/2026/07/linganshi-f8f86597c85c.webp,uploaded-t17-catalog-media
linganshi-fefc0a4edfbc,绿英石,C:\Users\Dylan\Desktop\灵感石验室\绿英石.webp,linganshi-fefc0a4edfbc.webp,56469,https://goearthward.com/wp-content/uploads/2026/07/linganshi-fefc0a4edfbc.webp,uploaded-t17-catalog-media
linganshi-7f1e66157d42,朱砂,C:\Users\Dylan\Desktop\灵感石验室\朱砂.webp,linganshi-7f1e66157d42.webp,56470,https://goearthward.com/wp-content/uploads/2026/07/linganshi-7f1e66157d42.webp,uploaded-t17-catalog-media
linganshi-aa4ea15d8063,葡萄石,C:\Users\Dylan\Desktop\灵感石验室\葡萄石.webp,linganshi-aa4ea15d8063.webp,56471,https://goearthward.com/wp-content/uploads/2026/07/linganshi-aa4ea15d8063.webp,uploaded-t17-catalog-media
